exception, save_state, search_for_vma, handle_mm_fault, restore_state, iret
481, 390, 11290, 516, 81, 173
494, 357, 2714, 429, 81, 171
522, 368, 1670, 321, 79, 170
524, 397, 1438, 341, 67, 171
513, 342, 1499, 380, 67, 168
518, 368, 1434, 365, 73, 172
492, 339, 1402, 367, 71, 232
505, 401, 1525, 348, 67, 172
490, 355, 1410, 321, 57, 171
500, 373, 1402, 321, 67, 171
497, 372, 1402, 329, 73, 168
502, 404, 1493, 348, 73, 173
532, 369, 1447, 339, 71, 171
498, 371, 1453, 360, 75, 170
497, 413, 1446, 338, 61, 169
484, 325, 1828, 336, 67, 166
479, 333, 1439, 333, 59, 164
479, 327, 1349, 317, 77, 163
528, 406, 1395, 345, 75, 167
498, 398, 1533, 327, 69, 171
530, 376, 1448, 344, 67, 173
524, 390, 1481, 337, 65, 182
547, 446, 1599, 378, 67, 187
565, 422, 1574, 372, 81, 191
551, 374, 1570, 363, 76, 188
597, 488, 1793, 424, 85, 203
620, 467, 1847, 424, 89, 208
616, 455, 1732, 402, 87, 210
630, 427, 2301, 422, 79, 217
658, 453, 1859, 461, 87, 223
677, 505, 1950, 450, 91, 236
753, 535, 3426, 801, 124, 264
721, 567, 3488, 475, 89, 244
656, 495, 1942, 435, 95, 226
640, 451, 2080, 631, 93, 217
620, 434, 1928, 416, 86, 215
601, 418, 2448, 441, 71, 204
581, 400, 1747, 404, 85, 195
577, 429, 1661, 378, 71, 659
539, 371, 1662, 377, 79, 183
548, 394, 1916, 414, 73, 183
512, 382, 1670, 378, 69, 178
495, 344, 1499, 342, 77, 169
489, 362, 1919, 311, 61, 165
479, 374, 1465, 382, 70, 166
484, 369, 1556, 319, 78, 166
490, 404, 1641, 392, 71, 162
480, 333, 1615, 321, 63, 167
482, 347, 1414, 313, 71, 165
482, 327, 1478, 335, 71, 175
491, 356, 1554, 329, 61, 164
483, 360, 1521, 327, 65, 165
486, 357, 1450, 315, 67, 163
486, 333, 1460, 334, 67, 165
488, 351, 1658, 333, 57, 167
479, 331, 1497, 321, 75, 166
492, 343, 1503, 339, 67, 164
482, 331, 2019, 336, 59, 164
488, 363, 1359, 313, 65, 166
490, 361, 1418, 335, 71, 167
489, 360, 1702, 428, 69, 165
486, 359, 1560, 365, 67, 167
477, 333, 1637, 349, 57, 167
481, 329, 1475, 335, 71, 165
492, 362, 1555, 333, 65, 195
477, 333, 1375, 319, 67, 187
488, 359, 1447, 333, 58, 165
481, 327, 1674, 327, 77, 167
485, 360, 1618, 304, 67, 164
490, 337, 1627, 340, 63, 167
489, 348, 1602, 333, 59, 164
486, 361, 1432, 327, 69, 165
490, 345, 1451, 340, 57, 167
510, 453, 2220, 412, 69, 175
483, 356, 1617, 310, 71, 165
485, 360, 1356, 307, 61, 166
488, 363, 1428, 327, 61, 162
504, 366, 1678, 333, 71, 163
484, 359, 1649, 315, 65, 167
490, 339, 1371, 339, 57, 167
514, 362, 1702, 331, 76, 166
486, 363, 1424, 321, 59, 166
490, 341, 1373, 341, 71, 165
488, 341, 1655, 337, 67, 165
485, 358, 1590, 317, 65, 472
490, 400, 1416, 334, 63, 168
488, 359, 1632, 339, 63, 176
484, 367, 1542, 321, 68, 164
490, 337, 1379, 335, 61, 164
484, 361, 1632, 313, 67, 195
486, 357, 1420, 327, 67, 165
488, 388, 1413, 335, 59, 164
522, 360, 1592, 337, 59, 167
485, 357, 1554, 318, 71, 163
489, 366, 1385, 327, 57, 167
508, 365, 1591, 323, 65, 167
484, 359, 1499, 319, 65, 165
481, 333, 1377, 341, 59, 164
492, 345, 1607, 337, 63, 168
483, 362, 1377, 315, 65, 166
491, 344, 1434, 327, 57, 164
490, 335, 1633, 333, 65, 165
486, 357, 1456, 315, 65, 167
488, 347, 1353, 339, 65, 166
487, 338, 1553, 327, 61, 163
484, 357, 1461, 320, 59, 166
492, 398, 1393, 325, 59, 163
489, 340, 1702, 337, 67, 163
486, 359, 1619, 314, 71, 164
483, 364, 1452, 325, 65, 165
485, 358, 1426, 321, 67, 165
485, 333, 1530, 347, 65, 165
522, 365, 1682, 325, 59, 163
484, 363, 1498, 319, 58, 163
480, 333, 4231, 1479, 63, 166
518, 367, 1640, 335, 71, 166
477, 325, 1558, 319, 65, 164
484, 333, 1419, 337, 69, 165
516, 367, 1499, 648, 57, 168
484, 363, 1739, 309, 61, 167
488, 361, 1363, 331, 65, 161
488, 365, 1493, 327, 67, 164
486, 357, 1361, 312, 69, 166
490, 365, 1375, 331, 59, 164
483, 358, 1470, 331, 57, 166
490, 367, 1627, 331, 59, 167
481, 329, 1530, 337, 59, 164
483, 364, 1814, 312, 67, 165
482, 333, 1383, 366, 65, 164
483, 364, 1572, 315, 59, 163
477, 327, 1479, 314, 67, 162
480, 327, 1379, 323, 55, 164
485, 357, 1426, 320, 59, 167
485, 329, 1558, 331, 73, 167
490, 349, 1461, 333, 69, 164
482, 341, 1483, 317, 57, 167
480, 333, 1355, 341, 71, 167
482, 335, 1489, 325, 59, 164
488, 359, 1493, 315, 69, 163
477, 346, 1505, 277, 65, 165
485, 362, 1789, 311, 59, 164
488, 343, 1491, 329, 65, 167
492, 331, 1659, 335, 59, 168
483, 362, 1430, 316, 65, 167
500, 353, 1384, 313, 56, 163
479, 323, 1511, 311, 61, 165
484, 335, 1497, 331, 67, 166
487, 333, 1727, 343, 67, 366
485, 358, 1545, 325, 71, 163
481, 329, 1430, 310, 65, 164
483, 329, 1674, 331, 67, 164
489, 360, 1597, 337, 71, 167
516, 359, 1581, 335, 71, 165
478, 331, 1808, 317, 67, 162
492, 361, 1408, 337, 67, 164
520, 360, 1564, 333, 63, 165
488, 363, 1674, 337, 69, 164
489, 366, 1651, 340, 77, 165
485, 356, 1740, 317, 65, 166
485, 328, 1440, 335, 71, 164
518, 357, 1692, 331, 73, 167
489, 386, 1503, 337, 65, 164
488, 357, 1560, 331, 61, 162
481, 362, 1401, 325, 71, 163
492, 357, 1440, 453, 67, 167
484, 329, 1606, 319, 67, 163
490, 394, 1544, 327, 57, 166
490, 364, 1556, 618, 69, 164
484, 357, 1457, 321, 65, 162
486, 359, 1678, 314, 69, 164
487, 366, 1468, 323, 61, 165
485, 366, 1400, 339, 63, 166
503, 364, 1751, 335, 71, 162
483, 331, 1483, 327, 59, 163
480, 337, 1489, 363, 57, 171
483, 362, 1980, 319, 59, 167
510, 357, 1381, 323, 53, 165
486, 368, 1436, 314, 61, 169
491, 405, 1365, 331, 59, 166
490, 366, 1482, 329, 71, 164
483, 360, 1619, 317, 72, 164
490, 363, 1806, 338, 71, 164
488, 357, 1924, 321, 58, 167
481, 325, 1394, 341, 65, 164
480, 333, 1586, 325, 65, 167
484, 335, 1367, 335, 61, 231
487, 360, 1605, 341, 59, 168
483, 360, 1446, 314, 71, 163
487, 368, 1812, 339, 63, 166
488, 363, 2117, 317, 59, 165
490, 359, 1455, 338, 65, 165
516, 364, 1600, 339, 71, 167
489, 386, 1380, 343, 61, 165
482, 329, 1521, 335, 65, 203
514, 399, 1454, 327, 65, 165
506, 363, 1574, 327, 67, 164
484, 363, 2159, 321, 63, 209
518, 358, 1413, 339, 65, 166
479, 327, 1493, 313, 61, 164
490, 392, 1360, 323, 61, 165
483, 327, 1601, 337, 61, 164
492, 386, 1464, 335, 69, 276
489, 358, 1609, 333, 61, 165
487, 366, 1454, 321, 69, 164
490, 359, 1727, 329, 71, 166
483, 359, 2125, 315, 67, 166
489, 366, 1469, 333, 67, 169
484, 359, 1696, 313, 65, 168
490, 392, 1379, 333, 69, 167
477, 325, 1509, 315, 73, 165
489, 350, 1383, 331, 59, 165
488, 368, 1677, 335, 58, 165
483, 331, 1420, 370, 67, 164
484, 333, 1698, 327, 71, 167
486, 357, 1660, 327, 77, 163
491, 346, 1539, 333, 63, 167
484, 361, 1773, 327, 67, 166
518, 365, 1652, 336, 57, 166
486, 363, 1761, 325, 67, 164
484, 325, 1389, 327, 65, 165
485, 362, 2186, 319, 59, 167
486, 333, 1438, 331, 59, 163
483, 331, 1631, 331, 77, 165
490, 388, 1381, 331, 63, 167
489, 366, 1479, 335, 57, 166
490, 394, 1387, 340, 58, 317
490, 365, 1467, 333, 58, 165
482, 331, 1464, 335, 67, 165
489, 366, 1611, 339, 71, 165
481, 362, 1621, 317, 69, 163
490, 359, 1743, 335, 65, 162
477, 329, 1501, 311, 65, 162
486, 327, 1495, 364, 59, 165
488, 357, 1771, 321, 59, 164
518, 365, 1625, 339, 57, 170
487, 364, 2098, 319, 67, 164
482, 331, 1367, 335, 65, 163
485, 362, 1937, 321, 60, 165
479, 329, 1779, 321, 54, 163
486, 357, 1818, 333, 61, 167
490, 388, 1385, 335, 58, 447
518, 368, 1785, 329, 67, 162
490, 365, 1361, 343, 61, 162
489, 333, 1579, 331, 71, 166
489, 340, 1403, 333, 69, 170
490, 339, 1696, 333, 71, 162
486, 341, 1509, 343, 65, 167
482, 339, 1617, 335, 72, 162
489, 352, 1367, 337, 59, 164
486, 347, 1515, 313, 59, 164
489, 398, 1378, 333, 72, 589
520, 366, 1527, 344, 78, 166
491, 362, 1379, 337, 67, 169
486, 329, 1560, 333, 71, 166
488, 396, 1578, 349, 67, 164
481, 331, 1509, 325, 65, 167
494, 394, 1375, 333, 73, 164
484, 333, 1588, 333, 71, 163
489, 396, 1372, 329, 59, 165
480, 333, 1511, 339, 65, 167
488, 339, 1469, 337, 58, 167
485, 333, 1662, 339, 77, 167
492, 349, 1528, 323, 59, 166
491, 340, 1738, 329, 61, 165
483, 331, 1369, 339, 65, 165
490, 339, 1515, 329, 59, 169
488, 339, 1357, 335, 57, 168
493, 352, 2134, 339, 61, 171
489, 331, 1402, 335, 57, 163
479, 327, 1938, 323, 71, 164
520, 360, 1669, 366, 59, 162
483, 362, 1702, 319, 73, 165
483, 333, 1711, 321, 59, 166
474, 329, 1909, 321, 65, 164
492, 364, 1787, 339, 59, 164
486, 359, 1444, 317, 71, 164
520, 369, 1788, 337, 59, 168
483, 362, 1923, 346, 75, 167
485, 325, 1528, 341, 68, 170
486, 333, 1361, 338, 67, 165
492, 396, 2435, 272, 57, 168
490, 394, 1398, 327, 69, 163
481, 329, 1623, 335, 65, 166
482, 329, 1361, 333, 67, 168
489, 358, 2315, 337, 59, 162
492, 365, 1373, 337, 71, 165
488, 368, 2067, 345, 59, 166
487, 355, 1390, 325, 53, 165
485, 364, 1564, 313, 65, 163
497, 323, 2344, 307, 65, 164
485, 360, 1363, 311, 71, 165
484, 333, 1722, 331, 57, 164
485, 362, 1471, 323, 69, 167
483, 336, 1677, 323, 61, 166
489, 386, 1723, 323, 58, 167
482, 331, 1612, 323, 67, 165
489, 388, 1463, 342, 57, 167
520, 360, 1580, 337, 65, 178
481, 325, 1367, 331, 75, 164
490, 366, 2137, 329, 61, 164
516, 360, 2360, 323, 67, 162
490, 370, 1832, 325, 57, 164
489, 362, 1609, 338, 59, 167
487, 396, 1465, 359, 67, 165
485, 388, 1684, 335, 59, 165
481, 333, 1392, 333, 65, 167
492, 357, 1511, 333, 59, 164
487, 342, 1369, 335, 59, 165
489, 339, 2340, 339, 59, 164
516, 368, 1834, 333, 55, 165
486, 363, 1692, 321, 67, 164
518, 388, 1660, 323, 60, 165
483, 325, 1367, 333, 65, 167
489, 362, 1645, 337, 71, 165
489, 368, 1462, 327, 67, 168
493, 356, 1503, 331, 65, 165
491, 342, 1643, 333, 59, 164
487, 346, 1982, 335, 69, 165
489, 358, 1674, 340, 59, 166
484, 367, 1690, 342, 71, 164
481, 327, 1800, 333, 63, 169
482, 331, 1363, 331, 57, 166
484, 327, 1509, 331, 67, 164
486, 325, 1375, 331, 63, 162
490, 341, 1637, 332, 61, 162
485, 329, 1721, 331, 69, 321
487, 366, 1704, 321, 57, 164
490, 363, 1617, 329, 65, 167
490, 394, 1365, 329, 65, 165
490, 355, 1467, 329, 57, 168
506, 357, 1385, 333, 73, 162
480, 325, 1415, 311, 67, 165
482, 343, 1664, 339, 61, 179
484, 327, 1562, 329, 65, 165
518, 364, 1444, 329, 63, 167
481, 331, 1391, 340, 65, 163
518, 366, 1499, 327, 67, 167
518, 368, 1727, 337, 67, 163
484, 363, 1634, 319, 65, 181
491, 354, 1531, 329, 67, 167
489, 364, 1446, 336, 65, 164
492, 365, 1573, 337, 63, 166
504, 386, 1482, 325, 67, 166
485, 360, 1820, 315, 61, 163
488, 360, 1560, 339, 69, 166
483, 329, 1459, 335, 67, 165
