exception, save_state, search_for_vma, handle_mm_fault, restore_state, iret
935, 833, 18070, 1215, 250, 780
1046, 890, 7657, 980, 207, 668
1103, 912, 4355, 942, 148, 579
1040, 780, 4235, 946, 138, 549
1019, 787, 4570, 1014, 163, 552
1001, 782, 4061, 882, 134, 552
922, 717, 3762, 774, 124, 493
765, 596, 3309, 605, 119, 411
715, 544, 2854, 607, 116, 376
640, 489, 2712, 500, 98, 341
567, 442, 1936, 420, 83, 301
514, 402, 2033, 441, 83, 276
511, 431, 1962, 420, 71, 266
508, 394, 1767, 435, 75, 268
508, 390, 1788, 402, 67, 271
508, 390, 2233, 386, 69, 268
504, 388, 2250, 399, 83, 268
500, 390, 2192, 384, 71, 268
508, 390, 1598, 461, 71, 268
498, 390, 2303, 544, 70, 266
506, 388, 1761, 388, 81, 272
508, 388, 1753, 384, 67, 270
506, 388, 2151, 378, 69, 266
508, 394, 2137, 668, 81, 272
502, 396, 1932, 402, 77, 271
510, 390, 1598, 453, 83, 268
494, 392, 2340, 406, 78, 268
506, 392, 1875, 396, 73, 268
507, 388, 1717, 397, 83, 270
510, 388, 2027, 461, 67, 268
510, 388, 2045, 444, 67, 272
508, 386, 1956, 371, 71, 270
508, 392, 1604, 374, 71, 274
499, 390, 2320, 366, 71, 267
510, 388, 1834, 400, 70, 268
510, 396, 1887, 394, 71, 266
508, 390, 2180, 376, 71, 271
512, 390, 2049, 380, 75, 272
508, 386, 1930, 378, 75, 268
507, 388, 1571, 379, 77, 266
502, 396, 1871, 382, 70, 270
504, 392, 1913, 406, 86, 268
501, 388, 1731, 364, 79, 280
507, 390, 2125, 410, 71, 268
508, 386, 2051, 394, 77, 581
508, 388, 1769, 390, 77, 449
508, 386, 1734, 380, 79, 270
502, 392, 2204, 382, 67, 270
500, 394, 1767, 401, 81, 266
502, 394, 1753, 360, 65, 268
510, 388, 1824, 756, 71, 268
510, 390, 2180, 380, 69, 268
506, 388, 1801, 380, 77, 271
504, 674, 1579, 713, 76, 272
508, 388, 1828, 386, 79, 270
505, 390, 1759, 373, 85, 268
498, 394, 1855, 396, 77, 268
508, 387, 2080, 423, 88, 268
